LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Steel Manufacturing,Employee,Operations,Workplace Safety,Procedure Not Followed,Sun,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SANF,Topic 4,High,First Aid
Others,Contractor,Others,Road Safety,Procedure Not Followed,Mon,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 5,High,First Aid
Steel Manufacturing,Employee,Operations,Barricading,Procedure Not Adequate,Sun,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SINF,Topic 3,High,First Aid
Steel Manufacturing,Employee,Operations,Workplace Safety,Procedure Not Adequate,Wed,July,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,PPE,Behaviour,SIF,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Maintenance,Orderliness,Procedure Not Followed,Mon,July,Medical Ailment,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 3,Low,Medical case
Corporate Services,Employee,Others,Not Maintained,Procedure Not Adequate,Sun,July,Material Handling,Single Working,M/C Idle,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Operations,Barricading,Procedure Not Adequate,Fri,July,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Condition,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Contractor,Transportation,Workplace Safety,Procedure Not Existing,Tue,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Corporate Services,Employee,Others,Not Maintained,Procedure Not Followed,Tue,August,Electrical Flash,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 5,Low,First Aid
Raw Materials,Employee,Maintenance,Mines Safety,Procedure Not Followed,Fri,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Maintenance,Mines Safety,Procedure Not Existing,Fri,August,Process Incidents,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 8,Low,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Mon,August,Material Handling,Single Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 3,Low,First Aid
Others,Employee,Others,Road Safety,Procedure Not Existing,Sat,August,Material Handling,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Raw Materials,Contractor,Operations,Mines Safety,Procedure Not Followed,Thu,August,Process Incidents,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Contractor,Operations,Not Maintained,Procedure Not Followed,Thu,August,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SINF,Topic 7,Low,First Aid
Others,Employee,Others,Others,Procedure Not Existing,Wed,August,Process Incidents,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 2,Low,First Aid
Engineering & Project,Employee,Operations,Falling,Procedure Not Adequate,Wed,August,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SAF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Maintenance,Workplace Safety,Procedure Not Followed,Tue,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,"Others,Process Safety",Process,SAF,Topic 9,Low,First Aid
Others,Contractor,Others,Road Safety,Procedure Not Followed,Fri,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Fri,August,Process Incidents,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Employee,Others,Road Safety,Procedure Not Adequate,Thu,August,Skidding,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 3,High,First Aid
Steel Manufacturing,Employee,Maintenance,Not Maintained,Procedure Not Followed,Wed,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,PPE,Process,SAF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,Others,Procedure Not Followed,Thu,September,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Process Safety,Process,SIF,Topic 1,Medium,First Aid
Shared Services,Employee,Operations,Workplace Safety,Procedure Not Followed,Tue,September,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 3,Low,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Fri,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Medium,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Fri,September,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Maintenance,Confine Space,Procedure Not Followed,Tue,September,Equipment Machinery Damage,Single Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Maintenance,Confine Space,Procedure Not Followed,Tue,September,Dashing/Collision,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Tue,September,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Contractor,Others,Orderliness,Procedure Not Followed,Fri,September,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,"Others,Process Safety",Behaviour,SIF,Topic 1,High,First Aid
Steel Manufacturing,Employee,Maintenance,Road Safety,Procedure Not Followed,Mon,September,Process Incidents,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Contractor,Others,PPE,Procedure Not Followed,Mon,September,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 5,High,First Aid
Others,Contractor,Others,Barricading,Procedure Not Existing,Fri,September,Material Handling,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SAF,Topic 3,High,First Aid
Others,Employee,Others,Not Maintained,Procedure Not Adequate,Sun,October,Process Incidents,Single Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Contractor,Transportation,Orderliness,Procedure Not Adequate,Sun,October,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,High,LTI
Engineering & Project,Employee,Operations,PPE,Procedure Not Followed,Mon,October,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Others,Employee,Others,Road Safety,Procedure Not Followed,Sat,October,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SNNR,Topic 3,High,First Aid
Steel Manufacturing,Employee,Maintenance,Uneasiness,Procedure Not Adequate,Sat,October,Process Incidents,Single Working,M/C Idle,Unsafe Act by Other,Barricading,Behaviour,SAF,Topic 3,Medium,Medical case
Raw Materials,Employee,Maintenance,Mines Safety,Procedure Not Followed,Fri,October,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 1,Medium,First Aid
Raw Materials,Employee,Maintenance,Mines Safety,Procedure Not Followed,Fri,October,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 4,Medium,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Wed,October,Road Incident,Single Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Contractor,Operations,Mines Safety,Procedure Not Followed,Tue,October,Process Incidents,Group Working,M/C Working,Unsafe Act & Unsafe Condition,"Others,Process Safety",Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Contractor,Operations,Mines Safety,Procedure Not Followed,Tue,October,Medical Ailment,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Contractor,Operations,Not Followed,Procedure Not Followed,Mon,November,Road Incident,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Raw Materials,Employee,Maintenance,Not Maintained,Procedure Not Followed,Tue,November,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Maintenance,Not Maintained,Procedure Not Followed,Tue,November,Workplace Safety,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Maintenance,Barricading,Procedure Not Followed,Wed,November,Occupational Illness,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Maintenance,Barricading,Procedure Not Followed,Wed,November,Skidding,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Followed,Wed,November,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 2,Low,First Aid
Raw Materials,Employee,Operations,PPE,Procedure Not Followed,Sun,November,Process Incidents,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Operations,PPE,Procedure Not Followed,Sun,November,Material Handling,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Contractor,Others,Not Followed,Procedure Not Followed,Thu,November,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,Medical case
Raw Materials,Employee,Others,Road Safety,Procedure Not Followed,Thu,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Others,Road Safety,Procedure Not Followed,Thu,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Employee,Others,Not Followed,Procedure Not Followed,Mon,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNR,Topic 3,High,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SIF,Topic 8,High,LTI
Raw Materials,Employee,Others,Tools & Equipment,Procedure Not Followed,Fri,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Tools & Equipment,Procedure Not Followed,Fri,December,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Tools & Equipment,Procedure Not Followed,Fri,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SINF,Topic 1,Low,First Aid
Raw Materials,Employee,Others,Tools & Equipment,Procedure Not Followed,Fri,December,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Others,Eyes & Face,Procedure Not Followed,Fri,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,High,First Aid
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Followed,Thu,December,Hot Metals,Group Working,M/C Working,Unsafe Condition,PPE,Process,SANF,Topic 6,Medium,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Mon,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 3,Low,First Aid
Corporate Services,Employee,Others,Not Followed,Procedure Not Adequate,Sat,December,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SAF,Topic 3,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Adequate,Thu,December,Equipment Machinery Damage,Single Working,M/C Working,Unsafe Condition,Process Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Adequate,Thu,December,Equipment Machinery Damage,Single Working,M/C Working,Unsafe Condition,Process Safety,Process,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Operations,Confine Space,Procedure Not Followed,Fri,December,Process Incidents,Group Working,M/C Working,Unsafe Condition,Process Safety,Process,SAF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Transportation,Others,Procedure Not Existing,Thu,December,Road Incident,Group Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,High,Medical case
Steel Manufacturing,Employee,Maintenance,Others,Procedure Not Followed,Wed,December,Road Incident,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Others,Uneasiness,Procedure Not Followed,Wed,December,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Employee,Operations,Falling,Procedure Not Existing,Thu,April,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 9,Low,Medical case
Steel Manufacturing,Employee,Others,PPE,Procedure Not Adequate,Sun,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Others,Process,SNNR,Topic 5,Medium,First Aid
Raw Materials,Employee,Maintenance,Handrail,Procedure Not Followed,Wed,May,Process Incidents,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Process,SNR,Topic 6,Low,First Aid
Raw Materials,Employee,Maintenance,Handrail,Procedure Not Adequate,Wed,May,Equipment Machinery Damage,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Electrical Safety,Process,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Others,Others,Procedure Not Adequate,Sat,May,Road Incident,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Operations,Workplace Safety,Procedure Not Followed,Sat,June,Gas Leakage,Single Working,M/C Idle,Unsafe Condition,Workplace Safety,Behaviour,SINF,Topic 7,Low,First Aid
Engineering & Project,Employee,Maintenance,Tools & Equipment,Procedure Not Existing,Sun,June,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SNR,Topic 7,High,First Aid
Raw Materials,Contractor,Maintenance,Electrical Safety,Procedure Not Adequate,Thu,June,Process Incidents,Group Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 6,High,LTI
Raw Materials,Contractor,Maintenance,Electrical Safety,Procedure Not Followed,Thu,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 6,High,LTI
Others,Employee,Others,Others,Procedure Not Followed,Wed,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 3,Low,Medical case
Raw Materials,Employee,Operations,Process Safety,Procedure Not Adequate,Fri,July,Material Handling,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 6,Low,First Aid
Raw Materials,Employee,Operations,Process Safety,Procedure Not Existing,Fri,July,Hydraulic/Pneumatic,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 6,Low,First Aid
Engineering & Project,Employee,Operations,Uneasiness,Procedure Not Adequate,Sun,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SINF,Topic 7,Low,Medical case
Engineering & Project,Employee,Operations,Uneasiness,Procedure Not Existing,Tue,July,Process Incidents,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 7,Low,Medical case
 TQM & Steel Business ,Employee,Others,Orderliness,Procedure Not Followed,Fri,July,Road Incident,Not Applicable,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 7,Low,Medical case
Raw Materials,Employee,Maintenance,Eyes & Face,Procedure Not Followed,Thu,July,Skidding,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Employee,Maintenance,Eyes & Face,Procedure Not Followed,Thu,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Employee,Maintenance,Workplace Safety,Procedure Not Adequate,Thu,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Workplace Safety,Process,SANF,Topic 6,Medium,First Aid
Raw Materials,Employee,Maintenance,Workplace Safety,Procedure Not Followed,Thu,September,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Workplace Safety,Process,SANF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Operations,Not Maintained,Procedure Not Existing,Thu,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 7,Low,First Aid
Shared Services,Employee,Loco Operation,Orderliness,Procedure Not Followed,Wed,September,Workplace Safety,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Others,Workplace Safety,Procedure Not Followed,Mon,October,Workplace Safety,Group Working,M/C Working,Unsafe Act,Others,Process,SIF,Topic 4,High,First Aid
Engineering & Project,Contractor,Construction,Barricading,Procedure Not Adequate,Tue,November,Road Incident,Group Working,M/C Idle,Unsafe Act,Gas Cutting & Welding,Behaviour,SIF,Topic 1,Medium,First Aid
Shared Services,Employee,Others,Not Maintained,Procedure Not Followed,Sat,November,Process Incidents,Single Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Employee,Transportation,Falling,Procedure Not Followed,Fri,November,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act,Process Safety,Process,SANF,Topic 7,Medium,First Aid
Shared Services,Contractor,Others,Falling,Procedure Not Followed,Tue,February,Road Incident,Group Working,M/C Idle,Unsafe Act,Process Safety,Behaviour,SANF,Topic 4,High,First Aid
Shared Services,Employee,Maintenance,Others,Procedure Not Followed,Tue,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SIF,Topic 3,Low,Medical case
Orissa Projects,Contractor,Others,Barricading,Procedure Not Followed,Fri,February,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNR,Topic 5,Medium,Medical case
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Adequate,Wed,February,Medical Ailment,Single Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 9,Low,First Aid
Others,Employee,Others,Not Followed,Procedure Not Existing,Wed,February,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SNNR,Topic 5,Medium,Medical case
Steel Manufacturing,Employee,Others,Others,Procedure Not Followed,Wed,February,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Employee,Maintenance,Orderliness,Procedure Not Adequate,Tue,March,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 1,Low,First Aid
Engineering & Project,Contractor,Operations,Not Maintained,Procedure Not Existing,Wed,March,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Low,Medical case
Engineering & Project,Employee,Operations,Orderliness,Procedure Not Followed,Mon,April,Road Incident,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Bearing Division,Employee,Operations,Orderliness,Procedure Not Followed,Mon,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Others,Process,SIF,Topic 7,High,First Aid
Engineering & Project,Contractor,Others,Excavation,Procedure Not Followed,Tue,April,Material Handling,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Operations,Not Followed,Procedure Not Followed,Mon,June,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Gas Cutting & Welding,Process,SANF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Maintenance,Process Safety,Procedure Not Followed,Mon,June,Material Handling,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SINF,Topic 6,High,First Aid
Engineering & Project,Employee,Operations,Material Handling,Procedure Not Adequate,Mon,July,Material Handling,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Contractor,Maintenance,Process Safety,Procedure Not Followed,Fri,July,Medical Ailment,Single Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 7,Low,Medical case
Orissa Projects,Contractor,Others,Gas Safety,Procedure Not Followed,Sat,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SIF,Topic 7,High,First Aid
Engineering & Project,Contractor,Operations,Falling,Procedure Not Followed,Fri,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Contractor,Others,Uneasiness,Procedure Not Followed,Wed,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNR,Topic 5,High,Medical case
Raw Materials,Contractor,Others,Uneasiness,Procedure Not Followed,Wed,August,Structural Integrity,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 5,High,Medical case
Engineering & Project,Employee,Operations,Eyes & Face,Procedure Not Followed,Sat,September,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 7,Medium,First Aid
Engineering & Project,Employee,Operations,Uneasiness,Procedure Not Followed,Sun,October,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Low,First Aid
Engineering & Project,Employee,Others,Not Maintained,Procedure Not Followed,Mon,November,Run Over,Single Working,M/C Working,Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Others,Electrical Safety,Procedure Not Followed,Thu,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 1,High,First Aid
Engineering & Project,Contractor,Operations,Workplace Safety,Procedure Not Followed,Thu,December,Process Incidents,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Operations,Not Maintained,Procedure Not Followed,Thu,December,Medical Ailment,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Tue,February,Skidding,Single Working,Not Applicable,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Tue,February,Skidding,Single Working,Not Applicable,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,February,Skidding,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Barricading,Process,SIF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Not Maintained,Procedure Not Followed,Wed,February,Skidding,Group Working,M/C Working,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Employee,Others,Not Maintained,Procedure Not Followed,Wed,February,Material Handling,Group Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 8,Low,Medical case
Steel Manufacturing,Employee,Others,Process Safety,Procedure Not Followed,Wed,March,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Employee,Maintenance,Not Maintained,Procedure Not Followed,Wed,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SANF,Topic 4,High,LTI
Raw Materials,Employee,Others,Others,Procedure Not Followed,Tue,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 5,Low,First Aid
Raw Materials,Employee,Others,Others,Procedure Not Followed,Tue,March,Skidding,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Contractor,Others,Not Maintained,Procedure Not Followed,Tue,April,Road Incident,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Operations,Not Maintained,Procedure Not Followed,Wed,April,Dashing/Collision,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SNR,Topic 3,Low,Medical case
Raw Materials,Employee,Others,Process Safety,Procedure Not Followed,Fri,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 8,Medium,First Aid
Raw Materials,Employee,Others,Process Safety,Procedure Not Followed,Fri,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 8,Medium,First Aid
Raw Materials,Contractor,Others,Others,Procedure Not Adequate,Fri,May,Road Incident,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SANF,Topic 6,Medium,Medical case
Raw Materials,Contractor,Others,Others,Procedure Not Adequate,Fri,May,Skidding,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SANF,Topic 6,Medium,Medical case
Raw Materials,Employee,Operations,Others,Procedure Not Followed,Wed,June,Process Incidents,Single Working,Not Applicable,Unsafe Act,Process Safety,Behaviour,SNNR,Topic 7,Medium,Medical case
Shared Services,Employee,Others,Others,Procedure Not Adequate,Tue,June,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SAF,Topic 3,Low,First Aid
Raw Materials,Employee,Operations,Not Maintained,Procedure Not Followed,Mon,June,Material Handling,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Process,SANF,Topic 8,Low,First Aid
Engineering & Project,Employee,Others,Falling,Procedure Not Adequate,Tue,June,Material Handling,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Process,SNR,Topic 6,Low,First Aid
Raw Materials,Employee,Maintenance,Not Maintained,Procedure Not Followed,Tue,July,Process Incidents,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 7,Low,First Aid
