Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Engineering & Project,Employee,Sat,April,Material Handling,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Thu,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Sat,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 5,Low,First Aid
Raw Materials,Contractor,Fri,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Contractor,Fri,April,Material Handling,Group Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SNR,Topic 1,Low,First Aid
Engineering & Project,Employee,Tue,April,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Fire Safety,Process,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Tue,April,Process Incidents,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Process,SIF,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,April,Process Incidents,Group Working,M/C Working,Unsafe Act,Fire Safety,Process,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Sat,May,Process Incidents,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SAF,Topic 5,High,First Aid
Others,Employee,Sat,May,Road Incident,Single Working,M/C Working,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Others,Contractor,Mon,May,Road Incident,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SINF,Topic 3,Medium,First Aid
Shared Services,Employee,Fri,May,Material Handling,Group Working,Not Applicable,Unsafe Act,Working at Height,Process,SAF,Topic 9,Low,First Aid
Corporate Services,Employee,Mon,May,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 3,Low,First Aid
Corporate Services,Employee,Mon,June,Dashing/Collision,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 5,High,First Aid
Raw Materials,Employee,Fri,June,Lifting Tools Tackles,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Process,SAF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,June,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SAF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Fri,June,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Mon,June,Material Handling,Group Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SANF,Topic 5,Medium,Medical case
Steel Manufacturing,Employee,Mon,June,Material Handling,Group Working,M/C Working,Unsafe Act,Orderliness,Process,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Sat,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Others,Employee,Sat,June,Process Incidents,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Shared Services,Employee,Sat,July,Material Handling,Not Applicable,M/C Idle,Unsafe Condition,Electrical Safety,Behaviour,SNR,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Sun,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SANF,Topic 4,High,First Aid
Others,Contractor,Mon,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 5,High,First Aid
Steel Manufacturing,Employee,Sun,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SINF,Topic 3,High,First Aid
Steel Manufacturing,Employee,Wed,July,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,PPE,Behaviour,SIF,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Mon,July,Medical Ailment,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 3,Low,Medical case
Corporate Services,Employee,Sun,July,Material Handling,Single Working,M/C Idle,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Fri,July,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Condition,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Contractor,Tue,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Corporate Services,Employee,Tue,August,Electrical Flash,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 5,Low,First Aid
Raw Materials,Employee,Fri,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Fri,August,Process Incidents,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Others,Employee,Mon,August,Material Handling,Single Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SINF,Topic 3,Low,First Aid
Others,Employee,Sat,August,Material Handling,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Raw Materials,Contractor,Thu,August,Process Incidents,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Contractor,Thu,August,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SINF,Topic 7,Low,First Aid
Others,Employee,Wed,August,Process Incidents,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 2,Low,First Aid
Engineering & Project,Employee,Wed,August,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SAF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Tue,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,"Positive Isolations,Process Safety",Process,SAF,Topic 9,Low,First Aid
Others,Contractor,Fri,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Fri,August,Process Incidents,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Employee,Thu,August,Skidding,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 3,High,First Aid
Steel Manufacturing,Employee,Wed,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,PPE,Process,SAF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Thu,September,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Process Safety,Process,SIF,Topic 1,Medium,First Aid
Shared Services,Employee,Tue,September,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 3,Low,First Aid
Others,Employee,Fri,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Medium,First Aid
Others,Employee,Fri,September,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Tue,September,Equipment Machinery Damage,Single Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Tue,September,Dashing/Collision,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Others,Employee,Tue,September,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Contractor,Fri,September,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SIF,Topic 1,High,First Aid
Steel Manufacturing,Employee,Mon,September,Process Incidents,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Contractor,Mon,September,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 5,High,First Aid
Others,Contractor,Fri,September,Material Handling,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SAF,Topic 3,High,First Aid
Others,Employee,Sun,October,Process Incidents,Single Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Contractor,Sun,October,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,High,LTI
Engineering & Project,Employee,Mon,October,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Others,Employee,Sat,October,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SNNR,Topic 3,High,First Aid
Steel Manufacturing,Employee,Sat,October,Process Incidents,Single Working,M/C Idle,Unsafe Act by Other,Barricading,Behaviour,SAF,Topic 3,Medium,Medical case
Raw Materials,Employee,Fri,October,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 1,Medium,First Aid
Raw Materials,Employee,Fri,October,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 4,Medium,First Aid
Others,Employee,Wed,October,Road Incident,Single Working,M/C Working,Unsafe Act,Working at Height,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Contractor,Tue,October,Process Incidents,Group Working,M/C Working,Unsafe Act & Unsafe Condition,"Positive Isolations,Process Safety",Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Contractor,Tue,October,Medical Ailment,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Contractor,Mon,November,Road Incident,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Raw Materials,Employee,Tue,November,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Tue,November,Working at Height,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Wed,November,Occupational Illness,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Wed,November,Skidding,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Dismantling,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Wed,November,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 2,Low,First Aid
Raw Materials,Employee,Sun,November,Process Incidents,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Sun,November,Material Handling,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Contractor,Thu,November,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,Medical case
Raw Materials,Employee,Thu,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Thu,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Employee,Mon,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNR,Topic 3,High,First Aid
Raw Materials,Employee,Fri,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SIF,Topic 8,High,LTI
Raw Materials,Employee,Fri,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,December,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SINF,Topic 1,Low,First Aid
Raw Materials,Employee,Fri,December,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Fri,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,High,First Aid
Steel Manufacturing,Employee,Thu,December,Hot Metals,Group Working,M/C Working,Unsafe Condition,PPE,Process,SANF,Topic 6,Medium,First Aid
Others,Employee,Mon,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Corporate Services,Employee,Sat,December,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SAF,Topic 3,Low,First Aid
Raw Materials,Employee,Thu,December,Equipment Machinery Damage,Single Working,M/C Working,Unsafe Condition,Process Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,December,Equipment Machinery Damage,Single Working,M/C Working,Unsafe Condition,Process Safety,Process,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Fri,December,Process Incidents,Group Working,M/C Working,Unsafe Condition,Process Safety,Process,SAF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Thu,December,Road Incident,Group Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,High,Medical case
Steel Manufacturing,Employee,Wed,December,Road Incident,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Wed,December,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Employee,Thu,April,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 9,Low,Medical case
Steel Manufacturing,Employee,Sun,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Others,Process,SNNR,Topic 5,Medium,First Aid
Raw Materials,Employee,Wed,May,Process Incidents,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Process,SNR,Topic 6,Low,First Aid
Raw Materials,Employee,Wed,May,Equipment Machinery Damage,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Electrical Safety,Process,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Sat,May,Road Incident,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Sat,June,Gas Leakage,Single Working,M/C Idle,Unsafe Condition,Working at Height,Behaviour,SINF,Topic 7,Low,First Aid
Engineering & Project,Employee,Sun,June,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SNR,Topic 7,High,First Aid
Raw Materials,Contractor,Thu,June,Process Incidents,Group Working,M/C Working,Unsafe Act,Working at Height,Behaviour,SINF,Topic 6,High,LTI
Raw Materials,Contractor,Thu,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SINF,Topic 6,High,LTI
Others,Employee,Wed,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 3,Low,Medical case
Raw Materials,Employee,Fri,July,Material Handling,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 6,Low,First Aid
Raw Materials,Employee,Fri,July,Hydraulic/Pneumatic,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 6,Low,First Aid
Engineering & Project,Employee,Sun,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SINF,Topic 7,Low,Medical case
Engineering & Project,Employee,Tue,July,Process Incidents,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 7,Low,Medical case
 TQM & Steel Business ,Employee,Fri,July,Road Incident,Not Applicable,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 7,Low,Medical case
Raw Materials,Employee,Thu,July,Skidding,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Employee,Thu,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Employee,Thu,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Work Permit System,Process,SANF,Topic 6,Medium,First Aid
Raw Materials,Employee,Thu,September,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Work Permit System,Process,SANF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Thu,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 7,Low,First Aid
Shared Services,Employee,Wed,September,Working at Height,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Mon,October,Working at Height,Group Working,M/C Working,Unsafe Act,Others,Process,SIF,Topic 4,High,First Aid
Engineering & Project,Contractor,Tue,November,Road Incident,Group Working,M/C Idle,Unsafe Act,Gas Cutting & Welding,Behaviour,SIF,Topic 1,Medium,First Aid
Shared Services,Employee,Sat,November,Process Incidents,Single Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Employee,Fri,November,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act,Process Safety,Process,SANF,Topic 7,Medium,First Aid
Shared Services,Contractor,Tue,February,Road Incident,Group Working,M/C Idle,Unsafe Act,Process Safety,Behaviour,SANF,Topic 4,High,First Aid
Shared Services,Employee,Tue,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Dismantling,Behaviour,SIF,Topic 3,Low,Medical case
Orissa Projects,Contractor,Fri,February,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNR,Topic 5,Medium,Medical case
Shared Services,Employee,Wed,February,Medical Ailment,Single Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 9,Low,First Aid
Others,Employee,Wed,February,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SNNR,Topic 5,Medium,Medical case
Steel Manufacturing,Employee,Wed,February,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Employee,Tue,March,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 1,Low,First Aid
Engineering & Project,Contractor,Wed,March,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Low,Medical case
Engineering & Project,Employee,Mon,April,Road Incident,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Bearing Division,Employee,Mon,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Others,Process,SIF,Topic 7,High,First Aid
Engineering & Project,Contractor,Tue,April,Material Handling,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Mon,June,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Gas Cutting & Welding,Process,SANF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Mon,June,Material Handling,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SINF,Topic 6,High,First Aid
Engineering & Project,Employee,Mon,July,Material Handling,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Contractor,Fri,July,Medical Ailment,Single Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 7,Low,Medical case
Orissa Projects,Contractor,Sat,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SIF,Topic 7,High,First Aid
Engineering & Project,Contractor,Fri,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Contractor,Wed,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNR,Topic 5,High,Medical case
Raw Materials,Contractor,Wed,August,Structural Integrity,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 5,High,Medical case
Engineering & Project,Employee,Sat,September,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 7,Medium,First Aid
Engineering & Project,Employee,Sun,October,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Low,First Aid
Engineering & Project,Employee,Mon,November,Run Over,Single Working,M/C Working,Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Thu,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 1,High,First Aid
Engineering & Project,Contractor,Thu,December,Process Incidents,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Thu,December,Medical Ailment,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Tue,February,Skidding,Single Working,Not Applicable,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Tue,February,Skidding,Single Working,Not Applicable,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,February,Skidding,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Barricading,Process,SIF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,February,Skidding,Group Working,M/C Working,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Employee,Wed,February,Material Handling,Group Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 8,Low,Medical case
Steel Manufacturing,Employee,Wed,March,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Employee,Wed,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SANF,Topic 4,High,LTI
Raw Materials,Employee,Tue,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 5,Low,First Aid
Raw Materials,Employee,Tue,March,Skidding,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Contractor,Tue,April,Road Incident,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Wed,April,Dashing/Collision,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SNR,Topic 3,Low,Medical case
Raw Materials,Employee,Fri,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 8,Medium,First Aid
Raw Materials,Employee,Fri,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 8,Medium,First Aid
Raw Materials,Contractor,Fri,May,Road Incident,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SANF,Topic 6,Medium,Medical case
Raw Materials,Contractor,Fri,May,Skidding,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SANF,Topic 6,Medium,Medical case
Raw Materials,Employee,Wed,June,Process Incidents,Single Working,Not Applicable,Unsafe Act,Process Safety,Behaviour,SNNR,Topic 7,Medium,Medical case
Shared Services,Employee,Tue,June,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SAF,Topic 3,Low,First Aid
Raw Materials,Employee,Mon,June,Material Handling,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Process,SANF,Topic 8,Low,First Aid
Engineering & Project,Employee,Tue,June,Material Handling,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Process,SNR,Topic 6,Low,First Aid
Raw Materials,Employee,Tue,July,Process Incidents,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Contractor,Wed,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SAF,Topic 7,Low,LTI
Raw Materials,Contractor,Thu,September,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Medium,Medical case
Engineering & Project,Contractor,Thu,September,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 5,High,First Aid
Raw Materials,Employee,Wed,October,Road Incident,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Medium,Medical case
Engineering & Project,Contractor,Fri,February,Road Incident,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,Low,First Aid
Engineering & Project,Contractor,Fri,February,Material Handling,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Tue,February,Energy Isolation,Single Working,Not Applicable,Unsafe Act,Dismantling,Process,SANF,Topic 6,Low,First Aid
Shared Services,Employee,Tue,February,Material Handling,Group Working,M/C Idle,Unsafe Condition,Work Permit System,Behaviour,SAF,Topic 6,Low,First Aid
Shared Services,Employee,Sun,February,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Thu,February,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,"Positive Isolations,Process Safety",Process,SINF,Topic 6,Low,First Aid
Shared Services,Employee,Wed,March,Process Incidents,Single Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Mon,March,Skidding,Single Working,M/C Idle,Unsafe Act by Other,Working at Height,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Sat,March,Material Handling,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 8,High,First Aid
Engineering & Project,Contractor,Sat,March,Material Handling,Group Working,Not Applicable,Unsafe Condition,Working at Height,Behaviour,SIF,Topic 6,Low,First Aid
Shared Services,Employee,Wed,May,Material Handling,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 1,Low,First Aid
Shared Services,Employee,Mon,May,Toxic Chemicals,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,High,LTI
